Signature.1	Signature.2	Signature.3	Signature.4	Signature.5	Signature.6	Signature.7	Signature.8	Signature.9	Signature.10	Signature.11	Signature.12	Signature.13	Signature.14	Signature.15	Signature.16	Signature.17	Signature.18	Signature.19	Signature.20	Signature.21	Signature.22	Signature.23	Signature.24	Signature.25	Signature.26	Signature.27	Signature.28	Signature.29	Signature.30
0.0716007250980617	0	0.4051297067165521	0	0	0	0	0	0	0	0	0	0.43818698381668464	0	0	0	0	0	0	0	0.03265967475679302	0.03130783173013524	0	0	0	0	0	0.021115077881773338	0	0
0	0	0.5956215871503325	0	0	0	0.04583708649566661	0	0	0	0	0	0.3045070920582434	0	0	0	0	0	0	0	0	0	0.01640276304097825	0	0	0	0	0.010754870649778748	0.02687660060500043	0
0.034532207003385905	0	0.20291697895837446	0	0	0	0	0	0.2159792260561478	0	0.08496695190075339	0	0.46160463608133845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0.1740240185562503	0.3318545567408512	0	0	0	0	0	0	0	0	0	0.32632613877163086	0	0	0	0	0	0	0	0	0.03412179267804047	0.028621670464565638	0.09230141857114403	0	0	0	0.012750404217517433	0	0
0	0.1392589940888794	0.3877453014634884	0	0	0	0	0	0	0	0	0	0.29650761085525257	0	0	0.03643841229806734	0	0.019085704077020975	0	0.05785052493298378	0	0	0.02536223073246376	0	0	0.026255966546011485	0.011495255005832206	0	0	0
0.03531377468606491	0.07747686396562657	0.4689751043896482	0	0	0	0	0	0	0	0	0.010972793060879818	0.37033527094539703	0	0.022189727646342743	0	0	0	0	0	0	0	0	0.014736465306040666	0	0	0	0	0	0
0	0.09070076832105599	0.2052549453817937	0	0	0	0	0	0.10799456916537287	0	0	0	0.3736073578213258	0	0	0	0	0	0.018485028680292098	0	0.09576508733831379	0.023257831628412415	0.06571248824502798	0.01922192341840536	0	0	0	0	0	0
0.10271367902844332	0	0.28806154820377333	0	0	0.011729961483855638	0.07653552000366368	0	0	0	0	0	0.46114798485604175	0	0	0	0	0	0	0	0	0.011808795803969244	0	0	0	0.04800251062025309	0	0	0	0
0.031712197250308	0.00859353424150261	0.464398374471705	0	0	0.06910071357825034	0	0	0	0	0	0	0.3825441803244741	0	0.01805427953930976	0	0	0	0	0	0	0	0	0	0	0.014863622997801527	0	0.010733097596648537	0	0
0.019022130299513006	0.15449558612806505	0.2845957188520657	0	0	0	0	0	0	0	0	0	0.3548665276457675	0	0	0	0	0	0	0	0.051505678746020994	0	0.022653042648217228	0.044642459091093684	0	0	0.022752664640647922	0	0.04546619194860905	0
0	0.05204392643172394	0.5954551030247988	0	0	0	0	0	0	0	0	0	0.26423852815766147	0	0	0.022347118681507797	0	0	0	0	0	0	0	0	0	0	0	0	0.06591532370430793	0
0	0.03964804907627436	0.5182181352927315	0	0	0	0	0	0	0	0.044793778454920635	0.1129226640383143	0.22443838342820827	0	0	0	0	0	0	0	0	0	0	0.03771740248336276	0	0	0.022261587226188234	0	0	0
0.012570945444274787	0.11755475107762758	0.1793538724405506	0	0.06076242831304128	0	0.036215880052966984	0	0.16385987089800463	0	0	0	0.26919679597577245	0	0	0.03685627209911255	0	0	0	0	0	0	0.028600701802117996	0.0950284818965312	0	0	0	0	0	0
0	0.15055217230877255	0.26664831744600925	0.07604871787343956	0	0	0	0	0	0	0	0.011809614199577028	0.3815212771191206	0	0	0.02497118778884715	0	0	0	0	0	0.03804214745627067	0.032477668782007287	0	0	0.017928897025955896	0	0	0	0
0	0.02628699515381258	0.4551680692540934	0	0	0	0	0	0	0	0.10708380557620376	0.08261162068831278	0.27834495268147796	0	0	0	0	0	0	0	0	0	0	0	0	0	0.030208470687044308	0	0	0.020296085959055115
0	0	0.23937140593174694	0	0	0	0	0	0	0	0.12163255140192088	0.08453090194442406	0.42152689794632886	0	0	0	0	0	0	0	0.06646376563246553	0	0	0.03348749301298192	0.03298698413013183	0	0	0	0	0
0	0	0.3916894357086041	0	0	0	0.03682556575335476	0	0	0	0	0.020381455366676404	0.46780895010888357	0	0	0	0	0	0.07155785538237257	0	0	0.011736737680108463	0	0	0	0	0	0	0	0
0	0.10880177665762861	0.5427710760186196	0	0	0	0	0	0	0	0	0.040931349550838485	0.27501357763418244	0	0	0	0	0	0	0.01775018576019239	0	0	0	0	0	0	0	0	0	0.0147320343785385
0	0.03173810566996796	0.38594056412120153	0	0	0	0.021544941430854506	0	0	0.09886479436060891	0	0	0.19003035423030099	0	0.03268312498187136	0	0.023004613805049954	0	0	0	0	0.05898463523406649	0	0.13114461832299412	0	0.026064247843084188	0	0	0	0
0	0.1542741485420113	0.3097994639735695	0	0	0	0	0	0.03450457926752969	0	0	0	0.353313837296357	0	0	0	0	0	0.038580988908253226	0	0.06180439527397439	0.016261242981662944	0	0	0	0	0	0.03146134375664199	0	0
0	0.046274292143400134	0.20963464671839196	0	0	0	0.029052084581064428	0	0	0	0	0	0.4390206010861844	0	0	0.2092838705793304	0	0	0	0	0	0	0	0	0	0	0.02393490212769654	0	0	0.04279960276393207
0.00780049167523178	0.032018648486815286	0.3520465517484456	0	0	0	0	0	0	0.02612536656955766	0	0.022471494406919784	0.4930386563898955	0	0	0	0.012098045008648684	0	0	0	0	0	0	0.054400745714485624	0	0	0	0	0	0
0	0.17444679314089437	0.28603801652436134	0	0	0	0	0	0	0	0	0	0.39106511598509613	0	0	0	0	0	0	0	0.04101151965849615	0	0	0.036336215789812436	0	0	0.016503741703666995	0.05459859719767266	0	0
0	0.0319684344315275	0.27514992637113733	0	0	0	0	0	0	0	0.1045627335175258	0	0.3360995231086545	0.013038197125648467	0	0	0.040540089953706906	0	0	0	0.02318820596224064	0.0471853989652967	0	0	0	0	0.0077055611786883225	0.06578688551432318	0.05477504387125073	0
0.007341949639323991	0.13961527127968412	0.3716026380962137	0	0	0	0.05024816828272797	0	0	0.049399182033335404	0	0	0.31177789153309926	0	0	0	0.036338314600389894	0	0	0	0	0	0	0.01861477574598751	0	0.015061808789238147	0	0	0	0
