time	signature_1	signature_2	signature_3	signature_4	signature_5	signature_6	signature_7	signature_8	signature_9	signature_10	signature_11	signature_12	signature_13	signature_14	signature_15	signature_16	signature_17	signature_18	signature_19	signature_20	signature_21	signature_22	signature_23	signature_24	signature_25	signature_26	signature_27	signature_28	signature_29	signature_30	CA_A.A	CA_A.C	CA_A.G	CA_A.T	CG_A.A	CG_A.C	CG_A.G	CG_A.T	CT_A.A	CT_A.C	CT_A.G	CT_A.T	TA_A.A	TA_A.C	TA_A.G	TA_A.T	TC_A.A	TC_A.C	TC_A.G	TC_A.T	TG_A.A	TG_A.C	TG_A.G	TG_A.T	CA_C.A	CA_C.C	CA_C.G	CA_C.T	CG_C.A	CG_C.C	CG_C.G	CG_C.T	CT_C.A	CT_C.C	CT_C.G	CT_C.T	TA_C.A	TA_C.C	TA_C.G	TA_C.T	TC_C.A	TC_C.C	TC_C.G	TC_C.T	TG_C.A	TG_C.C	TG_C.G	TG_C.T	CA_G.A	CA_G.C	CA_G.G	CA_G.T	CG_G.A	CG_G.C	CG_G.G	CG_G.T	CT_G.A	CT_G.C	CT_G.G	CT_G.T	TA_G.A	TA_G.C	TA_G.G	TA_G.T	TC_G.A	TC_G.C	TC_G.G	TC_G.T	TG_G.A	TG_G.C	TG_G.G	TG_G.T	CA_T.A	CA_T.C	CA_T.G	CA_T.T	CG_T.A	CG_T.C	CG_T.G	CG_T.T	CT_T.A	CT_T.C	CT_T.G	CT_T.T	TA_T.A	TA_T.C	TA_T.G	TA_T.T	TC_T.A	TC_T.C	TC_T.G	TC_T.T	TG_T.A	TG_T.C	TG_T.G	TG_T.T
1	0.09579674552006935	0.08728067517906142	0	0	0	0	0.09438832855693897	0	0	0	0	0.06039845444144391	0.3174374119705543	0	0	0	0.07056273667411889	0.0586823524514325	0	0.07114750156852434	0.06240773112252658	0	0	0	0	0.08189806251532969	0	0	0	0	0.005083972405843484	0.0024564611079358643	4.238417402376708e-4	0.002874442961448618	0.0019724592377127243	0.0012367287623678096	2.6352816907318396e-4	0.002427996922794027	0.00870171725467849	0.007087637136008404	0.023795394654049253	0.005498363585882983	0.0023702789588020278	0.004234448225328159	0.0013301859600286278	0.0032434994994871543	0.012172497393882403	0.007926733208325678	0.014162996009523653	0.008160900547707683	3.8324587921585056e-4	0.001033205615545566	9.959287352767398e-4	0.003067734224444229	0.009109110240773826	0.006074610029638654	0.0024848901380795027	0.013153894761672969	0.002217497587776386	9.367784430222257e-4	5.319172048422114e-4	0.002935593074515711	0.016335760331079068	0.015466743368160703	0.019869551516033913	0.014020246108010751	6.411772304593328e-4	0.0026752805890954768	0.0015783833217086105	0.003520548143096506	0.008503153940337033	0.009639918377800115	0.0159540426447902	0.014093530998889117	1.4173956642235283e-4	0.0030930005818771704	0.0033749729577416967	0.020418211477684484	0.009477382126098366	0.0028165948998727344	0.001117320642898318	0.006452942482333907	9.365564803806164e-4	0.0011837119213689614	7.85402042371143e-5	0.001436498150677821	0.010777024032570057	0.014298353181040894	0.014639885781389946	0.010888229202289127	5.164121639102358e-4	0.002247569097388358	0.0010445168921408702	0.0016238168630427032	0.022029447317937073	0.010890542952149685	0.014970974913614184	0.016266506856769898	1.0850442349898545e-4	0.0011583030549077865	0.001546454628000483	0.005974400680611375	0.022616471335585624	0.010961313362093807	0.0023601578749155154	0.017290720169728862	0.09304283794857068	0.02150395830299646	0.003313856897224686	0.1122565151468617	0.09045677480288257	0.04521368529792688	0.027915747916806767	0.04210778623144067	0.0017188808090654352	0.0024558203675784365	6.343235309399045e-4	0.002251197407991044	0.009599985860969213	0.009686285564003807	0.008260115076920408	0.007746520246297629	4.4066815381713895e-4	0.0016870898822125742	9.045068048841151e-4	0.005419541229798816
2	0	0	0.07780552049544263	0.06948077755877478	0	0.05883500958674151	0	0.11130697562802053	0	0	0	0	0	0.13050651461790377	0	0	0.0750663404646157	0.12314300067279879	0	0	0	0.22619560748573436	0	0	0.06086309134248412	0	0	0	0.06679716214748384	0	0.020439105735786382	0.013988075754305843	0.0033757914413802327	0.01560047415685352	0.005102325871749271	0.00263306107618061	0.0010251077235956215	0.004398651232508293	0.013396536138844626	0.009355436642907791	0.020297346772863965	0.010156934759390708	0.015399368408987932	0.006151689678181196	0.01946904338487464	0.009040304115933923	0.010488710606229511	0.004696271072637929	0.00834990775599773	0.007378504529326475	0.0013993069769540813	0.0012173161098771093	0.003134088787667385	0.004152863182851218	0.025895159169783858	0.01670657145304498	0.004933489256480157	0.036222453619152946	0.003721767207713695	0.003447319715622537	0.001739749750622433	0.004575415795671985	0.0104337794944834	0.00829731012774606	0.0171124482885333	0.010924937604378352	0.023881966328630877	0.01855808049600259	0.058474014572364105	0.024443406895365453	0.004036164265312016	0.007947238453372283	0.008140215085721736	0.01217934319098521	7.717002218876029e-4	0.003425251422362844	0.0057007786391343514	0.023512387530815186	0.029047630897253048	0.014994895910503868	0.00452612102194251	0.02904195037929451	0.0023368431950929274	0.00223348121805892	7.37742673387105e-4	0.0034625093231286912	0.015531902149626516	0.015935524936221208	0.026915117529291425	0.013960862362813001	0.01651082575218221	0.005051160956157858	0.016785836496233133	0.007572925552324667	0.0058874193616287075	0.0049064097287466624	0.005672761768484002	0.006230150106175704	9.366444368501445e-4	0.001432394231300205	0.005042854582232911	0.0075735990370084045	0.017906400125897226	0.017987860149382588	0.0040628947511586735	0.035120972990838245	0.0028824864916241434	0.004120189325941361	8.266219129987104e-4	0.005405236380611787	0.008352814950892457	0.009407856451494164	0.00924970057232527	0.01003640080593167	0.013830674077666815	0.009244528754741237	0.018843217126921153	0.01158941015528044	0.004934905832133751	0.005075819864650008	0.0034328026193522726	0.004612231375204017	0.0011840284144526748	0.0022466084057060198	0.0034441717980643175	0.00814743255925344
3	0.11251772385685269	0	0	0.06563542105623713	0	0	0.0725403277642121	0.0849175391459155	0	0.2683419306517526	0.10190038132402238	0	0	0.08190978043091313	0	0	0	0	0	0	0.05656411717101315	0	0	0	0	0	0.08766146984606688	0	0.06801130875301441	0	0.012229436189414888	0.010837214834890203	0.0029870974233523083	0.012187388336481123	0.002539649987217272	0.0015587109361300897	3.302722953701987e-4	0.002070244712129386	0.012180377083102252	0.020136210056540486	0.0335055631707887	0.014814325931446782	0.015007161415519658	0.003753242582555104	0.0028273500331644375	0.00467790040456461	0.007265183097606672	0.0049578579778607485	0.00638838488494054	0.006353118021252399	6.365784201358062e-4	0.0017778669169566344	0.0016681151328756616	0.004877408101785464	0.01196439774292437	0.010347235361277353	0.002301955880429166	0.02424859779146648	0.002001549520299554	0.0014673590221325643	7.862365530847189e-4	0.0015273162929935634	0.01592638313322723	0.029771847431790333	0.02397868363597003	0.02251761557214956	0.03078819633621177	0.0034620900631208494	0.004778684324247979	0.004490077686050696	0.003184865958907213	0.003989342934597249	0.004701448181393982	0.004932843074732168	9.062135359424896e-4	0.0012762097031053631	0.0024594360539970683	0.006773224253904931	0.012247473386765014	0.012545397411049312	0.003117384967016984	0.01727546838783765	0.0010248793973558637	0.0016564379898423847	4.3424417495239754e-4	0.001864982200954335	0.013751344894655812	0.02807529199326686	0.031245227972085916	0.0201703408178545	0.011081227182968487	0.0021426099888486997	0.002210317111580277	0.0025407199290365377	0.013591534537265838	0.009670789481580717	0.00909167082904358	0.013698564772117354	9.390314023286671e-5	7.980395668231347e-4	0.002019828417568818	0.002412794822944082	0.01853639607144701	0.01357425427144231	0.0029160917422062066	0.09816053484977318	0.0011141045960948962	0.0017487041923378317	3.0315553239628786e-4	0.0016775419388076942	0.018840969603974075	0.049094921266507066	0.07752037118431228	0.03364811820265399	0.007177719500347844	0.002381456210740871	0.0016093923557612929	0.004599833807498466	0.005781327554406694	0.006771930617716214	0.005175079429391255	0.006734721119652472	0.0017512207443091028	0.0031720972018465907	0.001894666246794323	0.01890645039580062
4	0	0	0.050749675203140304	0	0.0528749348074061	0	0	0.05350309504497625	0	0.15161483366704112	0	0.04501511228592927	0.3696435393427845	0	0	0.08630448118512526	0	0	0	0	0	0.07577278737620652	0	0	0.06988074192758226	0.044640799159808446	0	0	0	0	0.0067424054893756675	0.005340877547479702	8.002454559273206e-4	0.006227912257187362	0.004965553018029592	0.0020761623327167807	4.418773079530882e-4	0.004835504379240131	0.007251552865490607	0.00433561844881521	0.0070514968014756246	0.005527590362114515	0.008419966312993481	0.004853124504203172	0.008302956224396144	0.006184610644662432	0.017534011029963187	0.007335848876416692	0.012394784060787426	0.012549292088760279	0.0016715826301950637	0.0012983406572840295	0.002602408484319829	0.003738001108422765	0.007790832809134375	0.005368054800711333	0.0010157457869734638	0.008869159938800638	0.004613629129140586	0.002707894269288655	8.28222914291839e-4	0.0055209753182386455	0.008260985747552024	0.004820721940578085	0.005106440002332714	0.008073251027232609	0.01052334524157453	0.008867751084193562	0.024083630592983397	0.011282268951154082	0.006813939414837211	0.007515113586227725	0.008726670023927133	0.007970994381588999	8.418990677089505e-4	0.002304748143721144	0.004006364612653924	0.007154221670714422	0.004857423704324689	0.004238195861369767	7.574218532173731e-4	0.005352212039257721	0.00226870388970224	0.0018436693422547899	2.450644191022226e-4	0.00311457671138626	0.0059959846729041606	0.007226955068443053	0.008825959155926589	0.007896756888054772	0.008095107583201745	0.0029103418060060153	0.00838074394817729	0.004518399911973709	0.01276307751489865	0.006994647249359562	0.008539723651420009	0.010428827704126255	7.446154248409815e-4	0.0010156556387112363	0.002516727291711185	0.002365590496429132	0.028555052913267622	0.013126235729497768	0.0021650169910698105	0.061169270610308975	0.10619217647962188	0.026334796032652093	0.0038953194647058553	0.12747432035524633	0.047595471595217834	0.0133905941104165	0.037413503940446395	0.021496565973967943	0.0074438886141981195	0.005624089648429805	0.007964752580244854	0.0072220295082886755	0.009408874253376049	0.008492833041299282	0.0062632169995899215	0.008958834132557146	0.0025473012106375145	0.003081097025434476	0.002926068605673894	0.013813725013176806
5	0.08263169931953675	0	0	0	0	0	0	0	0	0	0	0.08355174975300633	0	0	0	0.11193000772439349	0.1590648942716926	0	0	0.10383459884880111	0.081026029699365107	0.10857044062807084	0	0	0.08747915677592594	0.09802282117003255	0.08388860180917529	0	0	0	0.005450224087009884	0.003996853363514031	7.318797154535969e-4	0.0035724188465888485	0.0023181310074111084	0.0015861404291080926	8.450690516412743e-5	0.0024044427581712564	0.014177508657466484	0.00877619152162183	0.026495750384362752	0.007830624075566272	0.022167226441293552	0.007849859819651403	0.01006100596672159	0.007065098733160185	0.02680078964268791	0.013513312848562302	0.024839736702614326	0.016810276202475802	0.0015667498565525597	0.002117240841259408	0.002570508274968015	0.006685576857505139	0.008162980210872504	0.008303162984581142	0.002427528237418245	0.017030044044327296	0.002243668692924825	0.0016629756738824227	5.199869996390543e-4	0.001812880631803816	0.014657566870268757	0.009174232407458691	0.021147293695677336	0.011641655377317732	0.0406713920888035	0.012521894804418744	0.03211890216860977	0.01753676206817191	0.014437759214137145	0.018546949752597755	0.026705402759336895	0.02860548658861542	3.0396902314829666e-4	0.006357322445896006	0.00708429809609518	0.0466220846250068	0.0057923756103829774	0.004847580371796866	0.0014290645487380943	0.005106625025876759	0.0014878996536985426	0.0017208930960400364	8.077656029273835e-5	0.0016595009461054285	0.015263522617158272	0.017483431219991703	0.014942514709030283	0.013675006905969612	0.01897107494690551	0.0048277913816620385	0.01079908961931526	0.005110702987781647	0.031331610206922336	0.015524670835255367	0.022045028762133666	0.02259898605396342	5.036349020938654e-4	0.002440376303061272	0.002798241152746752	0.012563485058015841	0.005202435833210614	0.005957890013029552	0.0014471171374790782	0.009191186778160233	0.002530631338273738	0.002147106695346459	2.5139518316679186e-4	0.005253807622290407	0.012337007715084442	0.01044571430157451	0.015578443439641836	0.011634350450509853	0.013148896051619844	0.006665710261720068	0.00959445414026048	0.007046338733908121	0.016375022617856918	0.015402413385498255	0.013232137411658759	0.013369450913794954	0.0015185973353816337	0.0031594459494200216	0.0030411731939172532	0.012697136622120648
6	0	0.16754862930395992	0.05902908472372395	0.06429027542960312	0	0	0	0.09367615309316954	0	0	0	0	0.10486111301364481	0	0	0.09013004202573503	0	0	0	0	0	0	0	0.08408609875762382	0	0	0.17999429431480313	0.07385518145746074	0.08252912788027597	0	0.017920064263035513	0.014373907671259421	0.005093993856813354	0.01141383289940614	0.005729263986559292	0.00316067367106428	6.170121574336432e-4	0.004610636882528478	0.009969066846685052	0.0048570961837810555	0.007581857260874276	0.0062766507393925055	0.02884083554555665	0.003403568688253501	0.004420952982948487	0.005147716546891224	0.012009304287830962	0.004519238888589313	0.008268133816470166	0.009991104532163082	0.0017235077219462168	0.00209064150697168	0.0026851969364252827	0.00796201616211266	0.019355381161262113	0.013722347361785032	0.004149525151618036	0.01289343510961051	0.005421644734529099	0.004268612980745972	0.0012559815090902864	0.005152505983915931	0.01217118187062214	0.00544571204717293	0.005874966158525068	0.009407319007750815	0.06267218321730764	0.006607549309656394	0.007969185024412481	0.007346271130189716	0.005265857458919395	0.008692947180528583	0.007776764625625454	0.006018298877248069	0.0011827156653358088	0.004139047705327769	0.0038077949842709766	0.012137126875013692	0.019278687227967575	0.023214966082298415	0.007598511304597218	0.015589730178839125	0.0026298245530422086	0.0029399201696585784	0.0010157661184592604	0.00405715271860591	0.009988441100121016	0.007978702031957661	0.0063107584153826645	0.006955127465973462	0.022014314053403435	0.0024890226192408422	0.0031718688157869844	0.002964940256147801	0.00471664423150615	0.00396386155862873	0.0038206009485615457	0.004828841928137389	3.538886538656553e-4	7.204134699712839e-4	0.003456790214295397	0.004685797171240274	0.020222380793928452	0.01940906134090112	0.004154541886659706	0.02022233752079854	0.03909691569277959	0.010782172875553091	0.0017704924708245653	0.05129357939230513	0.09244054795531331	0.020949308913490842	0.012378399587203399	0.04942365580019298	0.01257003811986219	0.004403269235021452	0.0036860923766404625	0.006120534573021582	0.005627254330847549	0.006324794624459284	0.0038220972129677875	0.005295496402122445	0.002073371088890104	0.0035455027081347755	0.0033929126700574727	0.020850041973518984
7	0	0	0	0	0	0.08707733834440867	0	0	0	0	0	0	0.27624482903594744	0.0896697756305037	0.07311727168123752	0	0	0.07751859643772854	0.08133218020014384	0.07595520716885322	0	0	0.08638785671150603	0	0	0	0	0.07856751484647734	0.07412942994319373	0	0.010558599622287765	0.006902143086533944	0.0016399441126150286	0.007833741886846574	0.0025973238001875515	0.0011498529931065929	2.644534298752677e-4	0.0025830792017468946	0.013718068433677543	0.016954222266688804	0.024547226625603175	0.011641794326449888	9.936118132317909e-4	0.0024441473778036814	0.0012743458489102727	0.0032551152919464946	0.005694814255901555	0.004553050653747335	0.009895152644549514	0.004109666293246327	7.506744625089975e-4	0.0018336170945670045	0.001271259826611539	0.008012496176525887	0.015658108538995415	0.011617806997135242	0.004569366038779878	0.03288177204455836	0.0018114679863703782	9.448382124144864e-4	6.56100464781979e-4	0.0024572557621574073	0.014078975499351266	0.02805438832430189	0.021165000918501806	0.027963408597822124	9.734646181843148e-4	0.0034338488714537965	0.002021539163348593	0.0020083233600055247	0.004149767945347981	0.007007533047013169	0.0130574873118991	0.00277622789222794	8.556151507287529e-4	0.0042778094814334	0.003845725479882459	0.01172289658107293	0.016889569829764625	0.009736045209968566	0.0027084813522572585	0.021441621862127308	9.137178708642562e-4	8.027088377761581e-4	1.085933796773446e-4	0.0016158136411789535	0.028268428242847674	0.04674237938447961	0.04097834609320439	0.03703115458861573	6.678794967748858e-4	0.0014857477178245927	8.032032402326343e-4	0.0016168404554950608	0.004859012404523463	0.0071163047743655295	0.007121709633109314	0.004250966602539322	1.093732960745749e-4	7.114165294788489e-4	0.0023944346622861044	0.005692061715207202	0.021815889966503514	0.013516243416248559	0.003245093293317244	0.02534366319443192	0.07778323945762468	0.018665714605924623	0.0027601204736125086	0.09277016483158955	0.040231703381486655	0.016650243090878182	0.01164241142636714	0.017692973009405064	0.0010404900405037625	0.0021339352457663825	0.001154396537993747	0.0026161322144116934	0.0039033866500439575	0.005633713768866123	0.005290210434445609	0.0033432933633707734	0.0012301809346351878	0.0031861692495711064	0.001412076655652074	0.020405614124148454
8	0	0	0.09369802915549713	0	0	0	0	0.08380556885175287	0	0	0.07659546942043889	0	0.1733160699057469	0.08683264306638165	0	0	0.10232867155240359	0.07357140344926559	0.0968877132115137	0	0	0	0.13330233540206318	0	0	0	0	0	0.07966209598493647	0	0.015814243487267825	0.01101374198361444	0.0021006907718513247	0.011678779954913291	0.005250547559300548	0.0024944199364682587	7.540168716648109e-4	0.005094823738943618	0.014141337210327601	0.026729647024681766	0.015748426529686253	0.018813352198206457	0.0025334223728692476	0.0030018437493727294	0.003158800520099799	0.004247419748977294	0.005791782650352798	0.003991327610915377	0.00557799935876048	0.00665277214543559	8.103783556641497e-4	0.001151113058843411	0.0023588771624484506	0.00477907104149264	0.017093693080617072	0.010088895796865418	0.003123539352003082	0.022048680392162245	0.003541547583618603	0.0026897450670273514	0.001095595590791357	0.004647240644870064	0.021223996312108293	0.04789822270572138	0.01307667649034172	0.04457983667314685	0.0024670983144500624	0.00488242116119191	0.003935506936936996	0.007839154045047153	0.0026541046587298437	0.007948829733231024	0.005518147015815686	0.01362987079235187	4.935609070761451e-4	0.0032361008840823807	0.0037355242874705197	0.029151749400422595	0.019816308350223202	0.01108370493932937	0.002488840776932972	0.020503611691396605	0.0020955356853494703	0.0015045103461706108	2.3805508981496865e-4	0.0033228135097451176	0.021108808796144966	0.04248467086286463	0.018468083934097067	0.034552119188045884	0.001768706867876188	0.00187182652347184	0.0022428559209088476	0.0035794823338706223	0.0030741561040728577	0.004422840277201754	0.003899703481664096	0.005627190000474392	5.759191456898628e-4	0.0015760298961801282	0.00416293213482229	0.008901229328312906	0.019852272454553663	0.014141652765757235	0.0031956437693436085	0.025805805838381043	0.05074240117536163	0.01417267656260985	0.002037569763133666	0.06262765632275655	0.032036947812495185	0.030287846704658176	0.00812506985866143	0.02549005644355847	0.0029173530979125424	0.003191847738345576	0.0022380247765514255	0.005317539756274775	0.003189250704894385	0.004218077320591777	0.0025111911223701065	0.0036514544899545584	0.0010757039547232487	0.0023579691031448543	0.0022696974747222444	0.008887782936321514
9	0.12190325792676059	0	0.05197942853772843	0	0	0.07627439718211083	0	0.093817120217668	0	0.21345345840583516	0	0	0.10080343494764124	0.0980747908666541	0	0	0	0.10116560948811987	0	0.05095066291908449	0	0	0	0	0	0	0	0	0.09157783950839724	0	0.017854305993386558	0.012337787971859547	0.002550638030937224	0.014427584236311493	0.003888279968892451	0.0022754246597432876	6.825699511498114e-4	0.003770703718987549	0.014161538515805398	0.010019420326654697	0.04294423584583183	0.011079169611413977	0.00268987498021694	0.002780051909574966	0.0028756518194340734	0.005705302895415011	0.007497316160370417	0.005691445922294342	0.009821399302635349	0.007012642758975604	7.89726846791968e-4	0.0017054078948490706	0.0022706589099698686	0.00480181550084577	0.02148392302152518	0.01356774384449112	0.004977472034053624	0.037343273777504515	0.0024771133588150796	0.0019505054911571668	0.0010552125432362737	0.003386613937598435	0.008004445079342289	0.008223665256798258	0.030420704341940105	0.009533420198630349	0.0019078501420035194	0.003657315191503883	0.0034296719134566524	0.004717034962088175	0.0028246657966954996	0.005149278633114568	0.009038333180891853	0.0043970221269621235	9.553157191555304e-4	0.0022913649902035755	0.004103230220865097	0.006904746305625003	0.024627819947140958	0.013378108307894564	0.003244789254170337	0.02637334001008507	0.0013839655189220468	0.0016934866351831068	1.8022005581188705e-4	0.0027378157654695664	0.019063421364291493	0.02250465868215227	0.0429090280453181	0.01939958019224238	0.0015584183264118292	0.0019532811044508506	0.001720123554650223	0.003187449534858702	0.006260508076895005	0.0065312348165234655	0.006798042100940286	0.007954021838131532	4.56697341560234e-4	0.0011969301204810098	0.0034086142796122387	0.0032993505127115433	0.026936572422549432	0.017052818255922524	0.004213396900024967	0.09579827932310245	0.02995611759540785	0.008954871614025164	0.001297687120436207	0.03651643506205034	0.019795441854576254	0.013969011135065438	0.06389092883068481	0.019432087947683852	0.003157683644435945	0.002768937367766285	0.001715741770885296	0.005032322815474688	0.004639540858122416	0.006166091583916895	0.005548551646246521	0.0056290131493039975	0.0018107117624768347	0.0033427944212780754	0.0020972549261360114	0.017023926806434348
10	0	0	0.08002059591303894	0.09015054741381542	0	0	0.16951713146360353	0.08334432855837488	0	0	0	0	0.13783475368982934	0	0	0	0	0.09426888577961409	0	0	0	0	0.0705026933935856	0.08206322575996164	0	0	0.11112525084318915	0	0.08117258718498738	0	0.021644774716130147	0.014880193563303284	0.005468524198339639	0.012804687564562149	0.00604140426712804	0.0033518874469550693	0.0010120608246812922	0.004782043196304528	0.008441146777325534	0.012856055728320931	0.007223229636819089	0.00821401231682773	0.018843477249246548	0.0027473291295362183	0.0042413845593699305	0.004662161305176046	0.005433541470762567	0.002531802046060048	0.005040814564727068	0.005778895019507409	7.557558933285706e-4	5.618458425578355e-4	0.0021273313052991407	0.001000837402860486	0.027073513197190497	0.016296238986482445	0.005758568857707988	0.016737176481614057	0.005498788305892144	0.004573946990402989	0.0018364111944856305	0.005780579714353896	0.025100183275046213	0.034563171848219235	0.010486204828734788	0.030849343404576953	0.03951269902438575	0.00457697976964674	0.007402858482790807	0.006215046612482482	0.002421418421381151	0.003956696686192862	0.0036808543168445115	0.004066323033654901	4.584951608250925e-4	0.0013390612901161114	0.0026924269932693734	0.0021924989256857084	0.030385208053151008	0.02382959525825903	0.008499693268741122	0.021740712048855516	0.002753132620535497	0.003103040256171241	0.0012435352733021286	0.0041019221464475165	0.011146667858951145	0.02115320977105585	0.007465671062610192	0.015638686960789714	0.014478839511940752	0.0021684105169998886	0.003097826742352233	0.0031115780841793057	0.0030323052391856694	0.0027661013357329627	0.0025953768852096312	0.005187439658251668	5.418833209203674e-4	5.106991750810681e-4	0.004260656507341906	0.002293221147360876	0.024989351347114122	0.022804787088040228	0.005199808532557435	0.028657662624699008	0.04198589894792303	0.013607052910523759	0.002134509836159879	0.05043704258537242	0.04537050906611272	0.058946612735059925	0.021874285841702503	0.02581344108219044	0.008868624162320555	0.0035525745568164638	0.0034886060391027267	0.005259748222493614	0.0031794618219173343	0.003328582439364069	0.0017509897715694194	0.002961455920274958	7.90466219229065e-4	0.0012704609720977837	0.002319411015164399	0.002788561731026278
