time	signature_1	signature_2	signature_3	signature_4	signature_5	signature_6	signature_7	signature_8	signature_9	signature_10	signature_11	signature_12	signature_13	signature_14	signature_15	signature_16	signature_17	signature_18	signature_19	signature_20	signature_21	signature_22	signature_23	signature_24	signature_25	signature_26	signature_27	signature_28	signature_29	signature_30	CA_A.A	CA_A.C	CA_A.G	CA_A.T	CG_A.A	CG_A.C	CG_A.G	CG_A.T	CT_A.A	CT_A.C	CT_A.G	CT_A.T	TA_A.A	TA_A.C	TA_A.G	TA_A.T	TC_A.A	TC_A.C	TC_A.G	TC_A.T	TG_A.A	TG_A.C	TG_A.G	TG_A.T	CA_C.A	CA_C.C	CA_C.G	CA_C.T	CG_C.A	CG_C.C	CG_C.G	CG_C.T	CT_C.A	CT_C.C	CT_C.G	CT_C.T	TA_C.A	TA_C.C	TA_C.G	TA_C.T	TC_C.A	TC_C.C	TC_C.G	TC_C.T	TG_C.A	TG_C.C	TG_C.G	TG_C.T	CA_G.A	CA_G.C	CA_G.G	CA_G.T	CG_G.A	CG_G.C	CG_G.G	CG_G.T	CT_G.A	CT_G.C	CT_G.G	CT_G.T	TA_G.A	TA_G.C	TA_G.G	TA_G.T	TC_G.A	TC_G.C	TC_G.G	TC_G.T	TG_G.A	TG_G.C	TG_G.G	TG_G.T	CA_T.A	CA_T.C	CA_T.G	CA_T.T	CG_T.A	CG_T.C	CG_T.G	CG_T.T	CT_T.A	CT_T.C	CT_T.G	CT_T.T	TA_T.A	TA_T.C	TA_T.G	TA_T.T	TC_T.A	TC_T.C	TC_T.G	TC_T.T	TG_T.A	TG_T.C	TG_T.G	TG_T.T
1	0	0.006400276074142129	7.12003585315001e-5	0	0	0	2.983217297960183e-5	6.992758210874863e-6	0	2.6480935645186847e-5	7.678535716389974e-6	0	0.993421479803508	0	0	8.24601793065356e-6	0	0	0	0	0	0	0	1.0142871538013068e-5	1.7670471797608375e-5	0	0	0	0	0	3.393901368317276e-4	6.503935921876325e-4	3.895837720501191e-5	8.45221660896923e-4	0.003754105859908179	9.175347135066815e-4	2.154249500333157e-5	0.0038410387342350263	0.0015201892308363259	6.021446068901164e-5	3.369630312457992e-4	2.345238709289254e-5	0.0012366026122287775	0.0010546116215171411	1.0618531634224277e-4	9.67635475430334e-4	5.563297859534032e-4	1.4844926733635833e-4	2.8269008689969127e-4	2.774672702018746e-4	3.842081088126111e-4	1.1206812191708458e-4	3.845902946769062e-5	1.9357827019921673e-4	0.001705895794393243	0.001154916369364419	2.4304592991104232e-4	0.0012533830509115981	0.005300286263758843	9.09396919282191e-4	2.8408374550052137e-4	0.006345060104622315	0.00372347953489929	0.0010251873928287425	1.6178968157022148e-4	6.698925694311898e-4	2.8543603610894284e-4	2.2529088145724664e-4	2.887940964767479e-4	6.666303665186525e-6	4.690956014399269e-5	4.71103995071046e-5	5.7334748169995186e-5	5.861724898593334e-6	1.5940583786816556e-5	1.4743754013361266e-4	4.8334527334666116e-5	4.626067251480789e-4	1.3527031204725942e-4	7.523972532818602e-4	9.791652545036729e-5	5.502705287999986e-4	0.0013418533070418681	7.846147112185893e-4	8.169909829372891e-5	0.0026656266518448905	0.0029576233452971953	0.002514084768080444	0.0031873963424771516	0.00170006617689121	1.388510942200633e-4	2.5373032584152523e-4	1.544540668831036e-4	1.244862572417647e-4	0.0010483423879656972	5.285905734271007e-4	6.26951489097401e-4	6.770347410639822e-4	1.9379691262856508e-5	9.347453343526794e-5	1.2694760975164368e-5	5.4682154800496554e-5	0.04794859441269718	0.017259959470445816	0.002289033648281067	0.018601829592470368	0.27863126916449493	0.06346682708189312	0.00947645002936492	0.3284840273502794	0.11578612682329824	0.015462371778932301	0.006376560974216964	0.029424662112614353	4.02226990394889e-4	7.677782513147567e-4	2.4490895558003026e-4	1.6285538725713096e-4	7.80859878316307e-4	1.36555901193404e-4	3.929627299957907e-5	1.8388940111795917e-4	5.440691492869615e-4	2.3468728228370753e-4	2.9403036427697415e-6	6.692985614030304e-4
2	0	0.04276948535514984	3.7052554326309545e-4	0	0	0	0.0014066345658693123	0	0	0	4.1339669045274685e-4	0	0.9542984832920036	0	0	6.861946168564996e-5	0	0	1.2700151596427002e-4	0	0	0	1.9080670812897973e-4	6.582158050235634e-5	0	0	0	0	0	2.8922528698019834e-4	3.619538128366088e-4	6.563114048296034e-4	4.357116389948736e-5	8.316524191546885e-4	0.0036249418094104037	8.958740351875523e-4	3.170672857436371e-5	0.003721135248165738	0.0017734838954309795	2.6640861249950146e-4	4.614514606128718e-4	1.9719885450976402e-4	0.0011943640706145212	0.001022548832351312	1.2843074740779488e-4	9.457655680558654e-4	5.931516067974562e-4	1.6562168578041126e-4	3.0368299444912434e-4	3.3281945908164703e-4	3.7293416506642185e-4	1.0994809023685748e-4	5.3135055655105245e-5	1.9918022213401043e-4	0.0016765747683963217	0.001127870290047418	2.3697970756902882e-4	0.0012282565959507777	0.005098685700114704	8.900420703695816e-4	2.7717163389900294e-4	0.006115544016897979	0.004286222644413983	0.0013805806834490911	3.8362371479269344e-4	0.0011735089048766712	2.8445814047676143e-4	2.4280529873852517e-4	2.9322560474294326e-4	3.536354723343383e-5	7.051130939596777e-5	6.725934452206194e-5	7.371766781764809e-5	3.8424565719552404e-5	2.1353272415798158e-5	1.4776583242244828e-4	6.20118112762903e-5	4.551963524490432e-4	1.5259894468074467e-4	7.411557602295657e-4	1.0396597854496169e-4	5.43113065218046e-4	0.0012970082524408376	7.604330243763078e-4	8.123716478616968e-5	0.002576155987105516	0.0031215270305777983	0.002613344500981519	0.0030876567707404275	0.0018380608521255432	1.4010451549780612e-4	2.5768018057222746e-4	1.5631258084985945e-4	1.337635845509766e-4	0.0010110724346782181	5.202732206671304e-4	6.088596366122266e-4	6.903057995945608e-4	2.420606200016283e-5	9.361538254900075e-5	2.547183222711292e-5	6.11636955743823e-5	0.046621825544300485	0.016833005722505703	0.0022618762172432194	0.018325324006897858	0.26902798911886416	0.060976899146859505	0.009164696559385847	0.3180104955437945	0.12681792357813662	0.018361202636712454	0.008014317476380055	0.03681976898019379	3.9575657997659787e-4	7.458389164145246e-4	2.4360348257998244e-4	1.792971998438044e-4	7.61737798760529e-4	1.5833067202357273e-4	5.2815942221703005e-5	2.057993743661127e-4	5.300579284510103e-4	2.3084524338789892e-4	1.7931267193001206e-5	6.491493853807629e-4
3	0	0.06901540753485458	9.098376008556954e-6	0	0	0	2.0686402412815847e-4	0	0	0	2.5544298945789504e-5	0	0.9307146499599845	0	0	0	0	2.4609367532702313e-6	3.413013579203574e-6	0	0	0	3.1000203663949523e-6	2.575172177660935e-6	0	0	0	0	0	1.68866632018909e-5	3.592064510531547e-4	6.469131177641356e-4	4.246626086189555e-5	8.107231748997638e-4	0.0035320765789091314	8.758027053334357e-4	3.377871282800584e-5	0.0036356136352442346	0.0018932073794858456	2.3408075553564705e-4	5.246999588483404e-4	2.3282490907498724e-4	0.0011578937466847202	9.94681194219425e-4	1.3265496129200607e-4	9.15757856101942e-4	6.016568367828422e-4	1.6510936022108263e-4	3.0003907734262085e-4	3.521136526659275e-4	3.6188571293023974e-4	1.0637308763503832e-4	5.276776277697031e-5	0.00019441555832160659	0.0016392174153834651	0.0010941895819868864	2.2790493284035755e-4	0.0011990440931118319	0.004966235142221248	8.686658132752319e-4	2.672644791542534e-4	0.005962758790880397	0.004449222848390606	0.0012040857620214875	4.6904460771576525e-4	0.0012075351631916516	2.7626482351353544e-4	2.3948979813761363e-4	2.8341556207126e-4	4.0977837187717504e-5	7.782357307283195e-5	6.77338318053175e-5	7.580460124333116e-5	4.050963479306622e-5	2.1997475338148863e-5	1.3925879888009002e-4	5.9005412681623535e-5	4.3676299906880093e-4	1.48030312121065e-4	7.118591444057253e-4	1.0259423014882441e-4	5.220142549401218e-4	0.001259273963398599	7.354717118233283e-4	7.898845891831833e-5	0.002513129983912709	0.0031739035084210605	0.0024871596086057553	0.003004845046958431	0.0018019646203145075	1.364684965171533e-4	2.5576042261810626e-4	1.493062358352105e-4	1.2955452505585626e-4	9.815193062007773e-4	5.062914831017917e-4	5.868080928716168e-4	6.712752182385904e-4	2.3899193394692092e-5	9.022327392899519e-5	1.8062250668659143e-5	5.634891708496945e-5	0.04587347780118305	0.016580631717190444	0.0022487572915795635	0.018199723266602928	0.2633892549122411	0.05946077339640617	0.008980617449506921	0.31196196138632165	0.1349643078840774	0.019706934688014596	0.008993818147677473	0.04199397151690802	3.813281548221736e-4	7.192154568184856e-4	2.3318296429769214e-4	1.6953165791410687e-4	7.373540743542863e-4	1.5690110924337583e-4	4.8679466116684136e-5	2.0827338685035498e-4	5.138692528509598e-4	2.20376723190569e-4	1.5170181788207985e-5	6.261804294343553e-4
4	0	0.08416664968716708	9.864078593768858e-5	0	0	0	5.698364945868465e-4	0	0	0	9.403284940920156e-5	0	0.9147964081068725	0	0	3.885024107594842e-5	0	4.5645380403738356e-5	4.186701774322803e-5	0	0	0	0	6.243412060957844e-5	0	0	0	0	0	8.563531619417841e-5	3.712984787466004e-4	6.501595973881878e-4	4.511934467321831e-5	8.067063234382741e-4	0.0034793647547752596	8.671215389523669e-4	3.770040568201589e-5	0.003586563250536214	0.001991868767460459	2.951153130371793e-4	5.743240895747185e-4	2.937553608530322e-4	0.001140309628625123	9.812587374453605e-4	1.416401528454362e-4	9.058364796670266e-4	6.177994990053048e-4	1.7175580191876774e-4	3.0847078168723613e-4	3.75552443718013e-4	3.570972253612049e-4	1.0556574916491182e-4	5.834338318432765e-5	1.9637491827058804e-4	0.0016331110854078453	0.001084628914048814	2.2675923869282296e-4	0.001190755257757005	0.00488428607902921	8.611739404871003e-4	2.6427802487733875e-4	0.00586936706447719	0.00465737885767915	0.001296430570863484	5.542141607851822e-4	0.0013767366538369105	2.756952043727614e-4	2.4614139182275915e-4	2.8546999745212166e-4	5.2603341483359504e-5	8.744174508101986e-5	7.601993963146493e-5	8.255293672401642e-5	5.3137040623667885e-5	2.3986203152022e-5	1.390530533563649e-4	6.412432123257896e-5	4.3338973342780683e-4	1.6220065522190883e-4	7.113574228580468e-4	1.072253954812535e-4	5.234854470063384e-4	0.0012405804385719845	7.253396690871586e-4	7.892065137045587e-5	0.0024764933002988775	0.0032338909973301335	0.002499145978976632	0.002962628052424303	0.0018410589130015888	1.3712005918780818e-4	2.5745144844540425e-4	1.4985582512229496e-4	1.3294024453023575e-4	9.664389913604288e-4	5.028335248457924e-4	5.791875737819159e-4	6.750186167958002e-4	2.57048105891906e-5	9.016931308983086e-5	2.2732155997312468e-5	5.858994022680371e-5	0.045342869535635565	0.016412490184465212	0.0022393129897436688	0.01810069648653078	0.2594950858554168	0.058447452292813964	0.008854220254161393	0.307723478606962	0.1395708078540457	0.02083563824504231	0.009658749725435805	0.04505421857375505	3.783637002953683e-4	7.099206241882781e-4	2.3269180570343603e-4	1.7512835475907924e-4	7.293518707153754e-4	0.00016543327428947325	5.3650817090632e-5	2.1705364594519556e-4	5.077254096822895e-4	2.1853586259461315e-4	2.058235107568513e-5	6.183354713166012e-4
5	0	0.128166184193879	1.579855979013687e-4	0	0	0	0.001618497694347133	0	0	0	1.641471021372559e-4	0	0.8691524356624964	0	0	0	0	1.1606360123555303e-4	1.3845663215862004e-4	0	0	0	1.5728199435687042e-4	1.3206662299724393e-4	0	0	0	0	0	1.9688089849049142e-4	3.9383967612208285e-4	6.520177347963444e-4	4.9642204579565585e-5	7.87164937225407e-4	0.0033214334283258027	8.385610034460936e-4	4.747209633564507e-5	0.0034397431594139997	0.002267043194427986	4.63151488272974e-4	7.148272071025919e-4	4.604621352988533e-4	0.0010860439347458865	9.398368761234773e-4	1.6348972402734628e-4	8.734757843924004e-4	6.5073270199381e-4	1.85553022410966e-4	3.2399533040826823e-4	4.3155161945101497e-4	3.4164397832851085e-4	1.0191690442029865e-4	7.10059288552143e-5	1.9861359548944572e-4	0.0015984518197801644	0.0010478686803781013	2.1923635521789436e-4	0.0011588113713874003	0.004644028725869784	8.345731301066107e-4	2.5373224802821353e-4	0.005594444359567986	0.00525562628448562	0.001565793081954798	7.982587022181436e-4	0.0018715679786362185	2.7107071407125595e-4	2.598451399073565e-4	2.8548378381720423e-4	8.110160787259939e-5	1.1127814159405584e-4	9.347639504243627e-5	9.744164820296264e-5	8.296536540546967e-5	2.8931717856234665e-5	1.352578450132775e-4	7.477791262217953e-5	4.1797400321533907e-4	1.86424953247897e-4	6.934893367047411e-4	1.1458724564868326e-4	5.145490377343474e-4	0.0011829704975894989	6.923193035050394e-4	7.768087270244483e-5	0.002367232784581287	0.0034026970363112193	0.002539609541083538	0.0028387441426534097	0.0019577186581007586	1.3700432976410643e-4	2.5988341527789755e-4	1.4852266877220623e-4	1.3974115877945492e-4	9.19134937095206e-4	4.887729302407717e-4	5.525717846433889e-4	6.808472363148938e-4	2.9766657310894007e-5	8.840104913280932e-5	3.158365246395155e-5	6.22604097537643e-5	0.04381904100287318	0.01591964287725436	0.0022100040383214357	0.01780853101253207	0.24834457157779563	0.055535614875229414	0.008491743992480736	0.2955971920966271	0.1529966051703939	0.024092397676453086	0.01158861539815664	0.05393865192736683	0.00036623170184840324	6.786025832439847e-4	2.2748993169469407e-4	1.8686732164786417e-4	7.007012917401147e-4	1.8379972313226062e-4	6.356819775618073e-5	2.3760839752891318e-4	4.872661482926685e-4	2.1045131314038212e-4	3.240037072761091e-5	5.90673055463562e-4
6	3.407629093820697e-5	0.06312322503407851	6.515892457862175e-5	0	0	0	5.133089663347236e-4	0	0	0	5.10749163297385e-5	0	0.9360648755675505	0	0	0	0	0	2.287020927053933e-5	0	0	0	2.2878714178545726e-5	2.1793416759687727e-5	0	0	0	0	0	8.073795998093987e-5	3.5936701926859467e-4	6.487413400096837e-4	4.2779308700058244e-5	8.151654598230917e-4	0.00355248653542375	8.801092814999748e-4	3.321062907440194e-5	0.0036543333878595765	0.0018649526417161084	2.3361872421015872e-4	5.153276621141156e-4	2.2006022921443016e-4	0.00116598768511621	0.001000768160227255	1.3148913255422442e-4	9.225887979902135e-4	5.986764215180742e-4	1.6484315437937915e-4	3.0027372773832136e-4	3.4682898785770306e-4	3.64304668780489e-4	1.0715292298945665e-4	5.2614162674055156e-5	1.953266929664394e-4	0.0016472626569122024	0.0011014157253447063	2.299089037974663e-4	0.0012053137530215782	0.004995891518402225	8.731699433715187e-4	2.6934775058350704e-4	0.005996764514589937	0.004412231921051252	0.0012337941032350408	4.5245446803952763e-4	0.0011933404009091355	2.7784127120853043e-4	2.3976250930382088e-4	2.8521001603481013e-4	3.925313939152434e-5	7.588892201937971e-5	6.711150437043599e-5	7.5059818394991e-5	3.9639094652991714e-5	2.1823834957588208e-5	1.4100950500289672e-4	5.9337107436373265e-5	4.405211836126811e-4	1.489577398909958e-4	7.187079249501515e-4	1.030647156431961e-4	5.265750754604605e-4	0.0012675207879671705	7.409684304085263e-4	7.948741446322244e-5	0.0025269775691251876	0.0031596991636325196	0.0025070388152357327	0.0030261145338957482	0.0018046775877553992	1.371362254655563e-4	2.560298452953919e-4	1.506437332065165e-4	1.303078783275276e-4	9.88089412405883e-4	5.09304418405835e-4	5.914383926644367e-4	6.756313696622648e-4	2.387478979514148e-5	9.08451454561519e-5	1.931031155146281e-5	5.724157892872898e-5	0.04604402316192957	0.01663808138194724	0.00225183602373197	0.018228700657218315	0.26467037260374476	0.059804145273948714	0.009022423658608211	0.31333716912198134	0.13314422750069319	0.019405688174250167	0.008779850225555967	0.04083048402728879	3.844689966296064e-4	7.250098472490943e-4	2.3536250817613277e-4	1.7143816909456183e-4	7.425771796470774e-4	1.568526236099159e-4	4.9476941659631224e-5	2.0742891100418616e-4	5.173376658470803e-4	2.2255096967603837e-4	1.5537780382201545e-5	6.3095343686716e-4
7	0	0.020973021451454014	9.638270392264826e-6	0	0	0	1.33569173689415e-4	0	0	0	5.7251497653313885e-6	0	0.9788556080006305	0	0	2.603430314357306e-6	0	0	3.465796241685129e-6	0	0	0	1.8932130055170969e-6	0	1.9282453261091613e-6	0	0	0	0	1.2547269180747135e-5	3.4236462044359733e-4	6.483134090557108e-4	3.947577696200504e-5	8.358188365416226e-4	0.00370115115480954	9.071493629463622e-4	2.4179237978434034e-5	0.0037921091570266396	0.0016062629438730665	1.0113046565413094e-4	3.8011240015327374e-4	7.131779915739721e-5	0.0012177008515293461	0.0010402401073661997	1.1188978504257955e-4	9.551238053985178e-4	5.656494736981578e-4	1.5165586913583307e-4	2.8584566800935184e-4	2.9354308409489495e-4	3.7885889323965416e-4	1.1058391364491829e-4	4.129478776965633e-5	1.9320247522778433e-4	0.0016885932641055176	0.0011395657383032178	2.3921355159326325e-4	0.001239330695169298	0.005221657986316737	8.99095463508754e-4	2.800084502139291e-4	0.006254988156241863	0.003896770908539165	0.0010726095318605948	2.34144990853168e-4	7.990355941289145e-4	2.825945911118964e-4	2.2780234535358618e-4	2.8619098883936176e-4	1.3346033764914192e-5	5.3600297055886245e-5	5.096400421759821e-5	6.1022725484109426e-5	1.3336901152467022e-5	1.7239015236046842e-5	1.4523674215131507e-4	5.0166515221858e-5	4.557668439800042e-4	1.3700865850317735e-4	7.413921350018698e-4	9.854700696099743e-5	5.423255984220477e-4	0.0013220577940540443	7.726785682717152e-4	8.09513356715483e-5	0.002629267502414639	0.0030073285463553816	0.0025084693832562754	0.003144277431299014	0.001723897799726099	1.3763311318633036e-4	2.538036929225615e-4	1.524479030274893e-4	1.2503873756857602e-4	0.0010320794339337082	5.228082489329027e-4	6.170767476182919e-4	6.75399325454785e-4	2.019429245551981e-5	9.246014195860564e-5	1.3127807072897958e-5	5.470270715085048e-5	0.04746519177621458	0.017100662417595187	0.0022794889532630983	0.01850096926010204	0.27509083914999183	0.06253523936634481	0.009361197691056226	0.32464626412233344	0.12025996044369165	0.01646733670047138	0.006987484602021844	0.03235435100355789	3.9680626787806834e-4	7.560098839005131e-4	2.4170367794251808e-4	1.6364326085606994e-4	7.701218243360316e-4	1.4056297061616204e-4	4.111039755963131e-5	1.8869783593709433e-4	5.367229758319488e-4	2.3094290820083643e-4	5.183178132410555e-6	6.572802076783596e-4
8	2.986330308377287e-4	0.030995869313396603	1.3669531297455368e-4	0	0	1.952275743365311e-4	4.2574401200840917e-4	0	0	0	1.9535021242194815e-4	0	0.9673713573213355	1.4425640496768148e-4	1.5323027701144682e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.363654070967553e-5	3.5209570606296105e-4	6.541074532266814e-4	4.104879063740031e-5	8.388811534105363e-4	0.003664546025888613	9.01885498734509e-4	2.7429980814173536e-5	0.003758407490418313	0.001695751368578557	1.7399283218385352e-4	4.937602216517279e-4	1.3296561068542483e-4	0.001206935196871242	0.0010334476068083562	1.187809369473858e-4	9.531238027822477e-4	5.817987678943941e-4	1.6102297590470604e-4	2.9960630294388136e-4	3.122485807792938e-4	3.758835487592038e-4	1.1113734820162411e-4	4.6304206357296826e-5	1.9748132162900606e-4	0.0016848782878857913	0.0011404529712382156	2.3946540117781768e-4	0.001266426031576403	0.00516334754362958	8.935187536447585e-4	2.782134573929545e-4	0.006188686628418116	0.004049295211995878	0.001170722069119354	3.45479364177183e-4	9.349378307434955e-4	2.828217855065171e-4	2.347604738644613e-4	2.8845331035804296e-4	2.294871728800162e-5	6.285856612546229e-5	6.032679198561222e-5	7.487730209676798e-5	2.542239072820748e-5	1.889501163711595e-5	1.4713827788384926e-4	5.584023632968802e-5	4.574525942397116e-4	1.445363015126595e-4	7.422969148719046e-4	1.00345568858239e-4	5.57823809400971e-4	0.001309571440287878	7.670149677606877e-4	8.083502550688963e-5	0.002604360256105332	0.003083382893626707	0.0025809411093290326	0.003212603665843541	0.0017897483381441595	1.382065867834774e-4	2.564856465749538e-4	1.539886688038777e-4	1.2942245696696809e-4	0.0010309036639226897	5.328597161532338e-4	6.188168640609721e-4	6.843773673335539e-4	2.1715890288754534e-5	9.353944961752424e-5	1.8370892969697178e-5	6.0868277735997206e-5	0.047070473137774654	0.01697745163160207	0.002271385404011017	0.018428960384485226	0.2722485994933088	0.06180584800677864	0.009268754629981758	0.3215297987206256	0.12321824085851005	0.017251823950038013	0.007460699916766499	0.034379729739696864	3.9654152414852204e-4	7.50479956364289e-4	2.4130348273927719e-4	1.69519435870882e-4	7.687617582916539e-4	1.5087809679506048e-4	5.007107229025135e-5	1.9810445609218827e-4	5.330300865111987e-4	2.3077487668930364e-4	1.0545194722662282e-5	6.553466760758785e-4
9	3.762951411748484e-6	0.023609946718571556	1.0500448639593728e-5	0	0	0	3.218341427865483e-5	0	0	0	0	0	0.976330767782397	0	0	2.750915517449632e-6	0	0	1.819623397785074e-6	0	0	0	0	2.7216350464765104e-6	1.6172704069460295e-6	0	0	0	0	3.929240332754543e-6	3.4339763066195073e-4	6.483428074020327e-4	3.9686542895187673e-5	8.345855427893811e-4	0.003692359012591807	9.055741702193717e-4	2.4672360293442213e-5	0.003783987421650455	0.0016215238597158475	1.0500260964782225e-4	3.8841920554955213e-4	7.906138288715783e-5	0.0012144120622843626	0.001037752939945804	1.1290963072853002e-4	9.526564399099469e-4	5.67700041615544e-4	1.5234101489065485e-4	2.8653616125237934e-4	2.9672346939429094e-4	3.779317574701753e-4	1.1035706413366142e-4	4.179125714701667e-5	1.932274713557861e-4	0.0016861292441205792	0.001137236262003168	2.3865245059977316e-4	0.0012371901432264051	0.005208308134726956	8.975400469474443e-4	2.792523358934197e-4	0.006239718712006258	0.003918666296795717	0.0010673188440479186	2.44912867327014e-4	8.119591277438889e-4	2.8223713130443316e-4	2.2827167420494805e-4	2.8594135634251887e-4	1.4691020613692782e-5	5.4847828708220026e-5	5.183812970979839e-5	6.176348047903647e-5	1.4384902112015647e-5	1.746397313981944e-5	1.4480589046487165e-4	5.050168733918039e-5	4.5457856860731685e-4	1.3767378113079806e-4	7.400677008211209e-4	9.88952452070501e-5	5.413244925997548e-4	0.0013187272485731215	7.706691905917074e-4	8.085511772809275e-5	0.00262323536687134	0.0030162126883221873	0.002504010376971243	0.0031371278689463554	0.0017259234084286681	1.375514575072101e-4	2.539281483644285e-4	1.5218612527344272e-4	1.2514176149094872e-4	0.0010294460964149048	5.219291270269358e-4	6.153909321721935e-4	6.743481410457606e-4	2.0373819305771626e-5	9.234026042167221e-5	1.32006065211563e-5	5.466250990510447e-5	0.04738349262595381	0.017074130455003108	0.0022780738012263247	0.01848660338917335	0.27448151895385525	0.06237392631511367	0.009341383951575874	0.32398881520217704	0.12106685967964081	0.0166145729537078	0.007087956710739227	0.03287678806197803	3.9584707738799755e-4	7.538952651653753e-4	2.4115649468179904e-4	1.6346659933445687e-4	7.6821003624445e-4	1.4123177585187465e-4	4.130381802797203e-5	1.8956622770500208e-4	5.354625347202891e-4	2.3025571370202007e-4	5.568891733715053e-6	6.555300286451903e-4
10	0	0.2245944292276022	1.3754504083643307e-4	0	0	0	0.003438203769340593	0	0	0	3.5496082569871516e-4	0	0.7708410347983413	0	0	5.5512791069264666e-5	0	0	6.653106672097677e-5	0	0	0	6.770266253403479e-5	7.35972959315742e-5	0	0	0	0	0	3.704825219248945e-4	4.1961760518437896e-4	6.461960751895701e-4	5.438647948178119e-5	7.318580896571165e-4	0.002974313609612053	7.730787579988227e-4	6.708245377224289e-5	0.0031181901224092367	0.0028509094293587547	7.792588526377711e-4	0.0010046344665280678	7.995787508303303e-4	9.667451398963372e-4	8.484317686380669e-4	2.067682228032764e-4	8.000946706487505e-4	7.253930045420941e-4	2.1445774385324553e-4	3.551692627228895e-4	5.509963610094628e-4	3.0794477112047394e-4	9.36629873713074e-5	9.634217181616737e-5	2.0239136264514897e-4	0.00148363197356273	9.505755206525618e-4	1.9310108244564048e-4	0.0010718985014652744	0.0041215345472842705	7.71023259960184e-4	2.2870491512222795e-4	0.004996287607856347	0.006491347724583437	0.0020070904836642215	0.0013040295998418942	0.002817695108661569	2.585153532067438e-4	2.8629460881942395e-4	2.8158863657263693e-4	1.3925217081072033e-4	1.61667496205164e-4	1.2824686919687863e-4	1.2911900178164256e-4	1.459267159471048e-4	3.918611610803002e-5	1.2527002788984066e-4	9.483591230519925e-5	3.832612021176445e-4	1.9147636083861923e-4	6.259673826200591e-4	1.1880028260475325e-4	0.00046220265571371877	0.0010552999015274196	6.174222293466164e-4	7.340834209346884e-5	0.0021290866472755024	0.0037351114258960287	0.0025301148112563737	0.0025523999707841014	0.0021321605717110207	1.3477721707538587e-4	2.636299289017349e-4	1.4384136386994396e-4	1.506402360206055e-4	8.168272558394601e-4	4.557519063109425e-4	4.925162484438412e-4	6.858424455527608e-4	3.748595253382778e-5	8.410092326958253e-5	4.309553939226631e-5	6.746323464429573e-5	0.04053473421928579	0.01484141700169551	0.0021425105169873373	0.01715861235162946	0.22438491715749614	0.0492573581848286	0.007712350221728715	0.26958150522784685	0.18253270267385469	0.031083412780435152	0.015772571563849945	0.07339832949555468	3.3708657966864176e-4	6.062293006095953e-4	2.111904147105979e-4	2.0618836615381273e-4	6.383441080129465e-4	2.208802581551001e-4	8.322473503396277e-5	2.811404721127392e-4	4.4198331240861944e-4	1.910145582922381e-4	5.536538466454328e-5	5.299216845497237e-4
